id,Movie Name,Release Date,Production Budget (USD),Domestic Gross (USD),Worldwide Gross (USD),Domestic Box Office (USD),International Box Office (USD),Worldwide Box Office (USD),Est. Domestic DVD Sales (USD),Est. Domestic Blu-ray Sales (USD),Total Est. Domestic Video Sales (USD),Opening Weekend (USD),Legs,Infl. Adj. Dom. BO (USD),Video Release,MPAA Rating,Running Time (minutes),Franchise,Keywords,Source,Genre,Production Method,Creative Type,Production/Financing Companies,Production Countries,Languages,Domestic Releases,International Releases,Theater counts,Domestic Share Percentage,Movie URL
209,Deepwater Horizon,2016-09-29,156000000,61433527,122333118,61433527.0,60899591.0,122333118.0,8419733.0,7521871.0,15941604.0,20223544.0,3.04,76561080.0,2016-12-20,PG-13,107,,"Disaster,Environment,Corporate Malfeasance,2010s,IMAX: DMR,Action Thriller",Based on Real Life Events,Thriller/Suspense,Live Action,Dramatization,"Participant Media,di Bonaventura Pictures,Summit Entertainment,Closest to the Hole,Leverage",United States,English,"September 30th, 2016 (Wide) byLionsgateSeptember 30th, 2016 (IMAX) byLionsgate","September 29th, 2016 (Wide) (Netherlands)September 30th, 2016 (Wide) (Argentina)September 30th, 2016 (Wide), released asDeepwater Horizon: Море в пламъци(Bulgaria)September 30th, 2016 (Wide), released asDeepwater Horizon: Moře v plamenech(Czech Republic)September 30th, 2016 (Wide), released asLiepsnojantis horizontas(Lithuania)... Show all releases","3,259 opening theaters/3,403 max. theaters, 4.9 weeks average run per theater",50.2,https://www.the-numbers.com/movie/Deepwater-Horizon#tab=summary
210,Twisters,2024-07-11,155000000,267762265,372186517,267762265.0,104424252.0,372186517.0,,,,81251415.0,3.3,267762265.0,2024-08-13,PG-13,122,Twister,"Disrupted by 2023 WGA & SAG Strikes,Action Thriller,Extreme Weather,Delayed Sequel,Sequels Without Their Original Stars",Original Screenplay,Thriller/Suspense,Live Action,Contemporary Fiction,"Universal Pictures,Amblin Entertainment,Warner Bros.",United States,English,"July 19th, 2024 (Wide) byUniversalJuly 19th, 2024 (IMAX) byUniversal","July 11th, 2024 (Wide), released asTornados(Argentina)July 11th, 2024 (Wide) (Australia)July 11th, 2024 (Wide) (Brazil)July 11th, 2024 (Wide), released asTornados(Chile)July 11th, 2024 (Wide), released asTornados(Colombia)... Show all releases","4,151 opening theaters/4,170 max. theaters, 7.3 weeks average run per theater",71.9,https://www.the-numbers.com/movie/Twisters-(2024)#tab=summary
211,The Chronicles of Narnia: The Voyage of the Daw…,2010-12-10,155000000,104386950,418186950,104386950.0,313800000.0,418186950.0,34625611.0,11497883.0,46123494.0,24005069.0,4.35,142502135.0,2011-04-08,PG,115,Chronicles of Narnia,"3-D,Prince/Princess,Dragon,Rescue,Talking Animals,Sword and Sandal,Gratuitous Cameos,Coming of Age,Dysfunctional Family,Voiceover/Narration,3-D - Post-production Conversion,Family Adventure",Based on Fiction Book/Short Story,Adventure,"Animation,Live Action",Fantasy,"Walden Media,Fox 2000 Pictures","United Kingdom,United States",English,"December 10th, 2010 (Wide) by20th Century Fox",,"3,555 opening theaters/3,555 max. theaters, 6.1 weeks average run per theater",25.0,https://www.the-numbers.com/movie/Chronicles-of-Narnia-The-Voyage-of-the-Dawn-Treader-The#tab=summary
212,Godzilla vs. Kong,2021-03-25,155000000,100916094,470116094,100916094.0,369200000.0,470116094.0,13340330.0,22933626.0,36273956.0,32200000.0,3.13,106969078.0,2021-03-31,PG-13,113,GodzillaKing KongMonsterVerse,"3-D,3-D - Post-production Conversion,IMAX: DMR,Disrupted by 2020 COVID-19 pandemic,Kaiju,Creature Feature,Secret Societies,Deaf,Mute,Sign Language,Enemies Forced to Work Together,Robot,Action Adventure",Original Screenplay,Action,Live Action,Science Fiction,"Warner Bros.,Legendary Pictures",United States,English,"March 31st, 2021 (Wide) byWarner Bros.March 31st, 2021 (IMAX) byWarner Bros.","March 25th, 2021 (Wide) (Australia)March 25th, 2021 (IMAX) (Australia)March 25th, 2021 (Wide) (Mexico)March 25th, 2021 (Wide) (New Zealand)March 26th, 2021 (Wide) (Brazil)... Show all releases","3,064 opening theaters/3,084 max. theaters, 9.2 weeks average run per theater",21.5,https://www.the-numbers.com/movie/Godzilla-vs-Kong-(2020)#tab=summary
213,Terminator: Genisys,2015-06-24,155000000,89760956,432150894,89760956.0,342389938.0,432150894.0,9092269.0,17603060.0,26695329.0,27018486.0,3.32,114783284.0,2015-10-20,PG-13,126,Terminator,"War,End of the World,Post Apocalypse,Robot,Artificial Intelligence,Time Travel,Same Role, Multiple Actors,Same Actor, Multiple Roles,Reboot,Visual Effects,Motion Capture Performance,3-D,3-D - Post-production Conversion,IMAX: DMR,Action Adventure",Original Screenplay,Action,Live Action,Science Fiction,"Skydance Productions,Paramount Pictures",United States,English,"July 1st, 2015 (Wide) byParamount PicturesJuly 1st, 2015 (IMAX) byParamount Pictures","June 24th, 2015 (Wide) (Indonesia)June 25th, 2015 (Wide) (Greece)June 25th, 2015 (Wide) (Sweden)June 26th, 2015 (Wide) (Colombia)June 26th, 2015 (Wide) (Finland)... Show all releases","3,758 opening theaters/3,783 max. theaters, 3.7 weeks average run per theater",20.8,https://www.the-numbers.com/movie/Terminator-Genisys#tab=summary
214,Pacific Rim: Uprising,2018-03-16,155000000,59874525,290930148,59874525.0,231055623.0,290930148.0,5501205.0,11181002.0,16682207.0,28116535.0,2.13,70850429.0,2018-06-19,PG-13,111,Pacific Rim,"Mecha,Kaiju,3-D,Ensemble,Father’s Footsteps,3-D - Post-production Conversion,IMAX: DMR,Action Adventure",Original Screenplay,Action,Live Action,Science Fiction,"Legendary Pictures,UpperRoom Entertainment Limited,Double Dare You,Universal Pictures",United States,English,"March 23rd, 2018 (Wide) byUniversalMarch 23rd, 2018 (IMAX) byUniversal","March 16th, 2018 (Wide) (South Korea)March 21st, 2018 (Wide) (Belgium)March 21st, 2018 (Wide) (Egypt)March 21st, 2018 (Wide) (France)March 21st, 2018 (Wide) (Indonesia)... Show all releases","3,708 opening theaters/3,708 max. theaters, 3.4 weeks average run per theater",20.6,https://www.the-numbers.com/movie/Pacific-Rim-Uprising#tab=summary
215,Alexander,2004-11-24,155000000,34297191,167297191,34297191.0,133000000.0,167297191.0,,,,13687087.0,2.51,59520746.0,2005-08-02,R,175,,Action Adventure,Based on Real Life Events,Action,Live Action,Dramatization,"Intermedia Film,Moritz Borman,IMF","France,Netherlands,United Kingdom",English,"November 24th, 2004 (Wide) byWarner Bros.","January 21st, 2005 (Wide) (Australia)","2,445 opening theaters/2,445 max. theaters, 3.5 weeks average run per theater",20.5,https://www.the-numbers.com/movie/Alexander#tab=summary
216,War for the Planet of the Apes,2017-07-14,152000000,146880162,489592267,146880162.0,342712105.0,489592267.0,7848369.0,14740735.0,22589104.0,56262929.0,2.61,176518188.0,2017-10-24,PG-13,142,Planet of the Apes,"Animal Lead,Talking Animals,War,Post Apocalypse,3-D,3-D - Shot in 3-D,Motion Capture Performance,3-D - Post-production Conversion,IMAX: DMR,Action Adventure",Original Screenplay,Action,"Animation,Live Action",Science Fiction,"20th Century Fox,Chernin Entertainment",United States,English,"July 14th, 2017 (Wide) by20th Century Fox","July 14th, 2017 (Wide), released asВойната за планетата на маймуните(Bulgaria)July 14th, 2017 (Wide), released asVálka o planetu opic(Czech Republic)July 14th, 2017 (Wide) (Hong Kong)July 14th, 2017 (Wide) (India)July 14th, 2017 (Wide) (Italy)... Show all releases","4,022 opening theaters/4,100 max. theaters, 5.4 weeks average run per theater",30.0,https://www.the-numbers.com/movie/War-for-the-Planet-of-the-Apes#tab=summary
217,Pearl Harbor,2001-05-25,151500000,198539855,449239853,198539855.0,250699998.0,449239853.0,,,,59078912.0,3.36,378137735.0,2001-12-04,PG-13,182,,"Historical Battles,World War II,War,Action Adventure,Romance,1940s,Set in Hawaii,Prologue,1920s",Based on Real Life Events,Action,Live Action,Dramatization,"Touchstone Pictures,Jerry Bruckheimer",United States,"English,Japanese","May 25th, 2001 (Wide) byWalt Disney","June 1st, 2001 (Wide) (United Kingdom)","3,214 opening theaters/3,255 max. theaters, 8.0 weeks average run per theater",44.2,https://www.the-numbers.com/movie/Pearl-Harbor#tab=summary
218,Barbie,2023-07-19,151000000,636785476,1447585476,636785476.0,810800000.0,1447585476.0,1361240.0,2951677.0,4312917.0,162022044.0,3.93,636785477.0,2023-09-12,PG-13,114,Barbie,"Satirical Comedy,Satire,F-Rated,Exile,Romance,2024 Oscars Best Picture Nominee",Based on Toy,Comedy,Live Action,Contemporary Fiction,"LuckyChap Entertainment,Mattel Entertainment,Parkes+Macdonald Productions,Playground Productions,Warner Bros.,Heyday Films",United States,English,"July 21st, 2023 (Wide) byWarner Bros.September 22nd, 2023 (IMAX) byWarner Bros.","July 19th, 2023 (Wide) (France)July 19th, 2023 (Wide) (Netherlands)July 19th, 2023 (Wide), released asBarbie (바비)(South Korea)July 20th, 2023 (Wide) (Argentina)July 20th, 2023 (Wide) (Australia)... Show all releases","4,243 opening theaters/4,337 max. theaters, 9.5 weeks average run per theater",44.0,https://www.the-numbers.com/movie/Barbie-(2023)#tab=summary
219,Transformers,2007-06-28,151000000,319246193,708272592,319246193.0,389026399.0,708272592.0,295604302.0,8123249.0,303727551.0,70502384.0,4.53,500214228.0,2007-10-16,PG-13,142,Transformers,"Alien Invasion,Robot,Friendly Alien on Earth,End of the World,IMAX: DMR,Action Adventure",Based on TV,Action,"Animation,Live Action",Science Fiction,"DreamWorks Pictures,Paramount Pictures,Hasbro Studios,di Bonaventura Pictures",United States,English,"July 2nd, 2007 (Wide) byParamount PicturesSeptember 21st, 2007 (IMAX) byParamount Pictures","June 28th, 2007 (Wide), released asTransformers (트랜스포머)(South Korea)May 25th, 2023 (Limited), released asTransformers (트랜스포머)(South Korea)","4,011 opening theaters/4,050 max. theaters, 6.4 weeks average run per theater",45.1,https://www.the-numbers.com/movie/Transformers#tab=summary
220,Frozen II,2019-11-20,150000000,477373578,1451653316,477373578.0,974279738.0,1451653316.0,29336018.0,52142631.0,81478649.0,130263358.0,3.66,561730837.0,2020-02-11,PG,103,Frozen,"Prince/Princess,3-D,Royalty,Romance,Trapped,3-D - Shot in 3-D,IMAX: DMR,Filmed in Walt Disney Animation Studios Burbank CA,Filmed in Burbank, CA,Filmed in California, United States,Filmed in United States,Filmed in Los Angeles County, CA,Family Musical,Musical-Adventure",Based on Folk Tale/Legend/Fairytale,Musical,Digital Animation,Kids Fiction,Walt Disney Animation Studios,United States,English,"November 22nd, 2019 (IMAX) byWalt DisneyNovember 22nd, 2019 (Wide) byWalt DisneyJanuary 17th, 2020 (Limited) byWalt Disney, released asFrozen II: Sing Along","November 20th, 2019 (Wide) (Belgium)November 20th, 2019 (Wide) (France)November 20th, 2019 (Wide) (Germany)November 20th, 2019 (Wide) (Indonesia)November 20th, 2019 (Wide), released asFrozen 2(Netherlands)... Show all releases","4,440 opening theaters/4,440 max. theaters, 8.6 weeks average run per theater",32.9,https://www.the-numbers.com/movie/Frozen-II-(2019)#tab=summary
221,Moana 2,2024-11-27,150000000,450182382,1026162434,450182382.0,575980052.0,1026162434.0,,,,139787385.0,3.22,450182382.0,,PG,100,Moana,"Family Adventure,On a Boat,Gods and Goddesses,Family Musical,Musical-Adventure",Original Screenplay,Adventure,Digital Animation,Kids Fiction,Walt Disney Animation Studios,United States,English,"November 27th, 2024 (Wide) byWalt DisneyNovember 27th, 2024 (IMAX) byWalt Disney","November 27th, 2024 (Wide) (Belgium)November 27th, 2024 (Wide), released asOdvážná Vaiana 2(Czech Republic)November 27th, 2024 (Wide), released asVaiana 2(France)November 27th, 2024 (Wide) (Indonesia)November 27th, 2024 (Wide), released asVaiana 2(Netherlands)... Show all releases","4,200 opening theaters/4,200 max. theaters, 7.5 weeks average run per theater",43.9,https://www.the-numbers.com/movie/Moana-2-(2024)#tab=summary
222,Wonder Woman,2017-05-29,150000000,412563408,817691766,412563408.0,405128358.0,817691766.0,25947796.0,72886279.0,98834075.0,103251471.0,4.0,495811989.0,2017-08-29,PG-13,141,DC Extended UniverseWonder Woman,"D.C. Comics,War,World War I,Gods and Goddesses,Origin Story,Marooned,Greek Mythology,1910s,Secret Agent,Development Hell,Prologue,Voiceover/Narration,Non-Chronological,3-D,3-D - Post-production Conversion,IMAX: DMR,Filmed in Leavesden Studios, Hertfordshire, England,Filmed in Hertfordshire, England,Filmed in England,Filmed in United Kingdom,Filmed in Lower Halstow, Kent, England,Filmed in Kent, England,Filmed in Sassi di Matera, Italy,Filmed in Italy,Filmed in Castel del Monte, Italy,Filmed in Camerota, Italy,Filmed in Hatfield House, Hertfordshire, England,Filmed in Louvre Museum, Paris, France,Filmed in Paris, France,Filmed in France,Filmed in Cilentan Coast, Italy,Filmed in Australia House, London, England,Filmed in London, England,Filmed in British Museum, London, England,Filmed in Matera, Italy,Filmed in Villa Cimbrone, Italy,Filmed in Tilbury Fort, Essex, England,Filmed in Essex, England,Filmed in Lincoln’s Inn Fields, London, England,Filmed in Victoria House, London, England,Filmed in Sicilian Avenue, London, England,Filmed in One Great George Street, London, England,Filmed in Kings Cross Station, London, England,Filmed in Tilbury Docks, Essex, England,Filmed in Bourne Wood, Surrey, England,Filmed in Surrey, England,Filmed in West Sussex, England,Filmed in Arundel Castle, West Sussex, England,Filmed in Upper Heyford air base, Oxfordshire, England,Filmed in Oxfordshire, England,Filmed in Trafalgar Square, London, England,Action Adventure",Based on Comic/Graphic Novel,Action,Live Action,Super Hero,"Warner Bros.,Atlas Entertainment,Cruel and Unusual Films,RatPac Entertainment,Dune Entertainment,Tencent Pictures,Wanda Pictures,DC Films",United States,English,"June 2nd, 2017 (Wide) byWarner Bros.","May 29th, 2017 (Wide) (South Korea)May 30th, 2017 (Wide) (Hong Kong)May 30th, 2017 (Wide) (Taiwan)May 31st, 2017 (Wide) (China)June 1st, 2017 (Wide) (Italy)... Show all releases","4,165 opening theaters/4,165 max. theaters, 9.3 weeks average run per theater",50.5,https://www.the-numbers.com/movie/Wonder-Woman-(2017)#tab=summary
223,Frozen,2013-11-22,150000000,400953009,1271023300,400953009.0,870070291.0,1271023300.0,253125424.0,163974026.0,417099450.0,243390.0,5.95,530936873.0,2014-02-25,PG,102,Frozen,"Sibling Rivalry,Romance,Love at First Sight,Royalty,Prince/Princess,Surprise Twist,3-D,3-D - Shot in 3-D,Filmed in Walt Disney Animation Studios Burbank CA,Filmed in Burbank, CA,Filmed in Los Angeles County, CA,Filmed in California, United States,Filmed in United States,Family Musical,Missing Person,Young Child Dealing with the Death of a Parent,Relationships Gone Wrong,Musical-Adventure",Based on Folk Tale/Legend/Fairytale,Musical,Digital Animation,Kids Fiction,Walt Disney Animation Studios,United States,English,"November 22nd, 2013 (Limited) byWalt DisneyNovember 27th, 2013 (Expands Wide) byWalt DisneyNovember 25th, 2020 (Wide) byWalt Disney","November 27th, 2013 (Wide) (Philippines)November 28th, 2013 (Wide) (Austria)November 28th, 2013 (Wide) (Croatia)November 28th, 2013 (Wide) (Czech Republic)November 28th, 2013 (Wide) (Germany)... Show all releases","1 opening theaters/3,742 max. theaters, 13.5 weeks average run per theater",31.5,https://www.the-numbers.com/movie/Frozen-(2013)#tab=summary
224,Zootopia,2016-02-10,150000000,341268248,1025485003,341268248.0,684216755.0,1025485003.0,57621663.0,54244925.0,111866588.0,75063401.0,4.55,425303081.0,2016-06-07,PG,108,Zootopia,"Beat Cops,Confidence Men,Talking Animals,Animal Lead,Missing Person,Bigotry,Government Corruption,Prologue,Bullies,Intertitle,3-D,3-D - Shot in 3-D,IMAX: DMR,Buddy Cop,Family Adventure",Original Screenplay,Adventure,Digital Animation,Kids Fiction,"Walt Disney Pictures,Walt Disney Animation Studios",United States,English,"March 4th, 2016 (Wide) byWalt Disney","February 10th, 2016 (Wide) (Belgium)February 12th, 2016 (Wide) (Denmark)February 12th, 2016 (Wide) (Spain)February 17th, 2016 (Wide) (France)February 17th, 2016 (Wide) (Indonesia)... Show all releases","3,827 opening theaters/3,959 max. theaters, 9.8 weeks average run per theater",33.3,https://www.the-numbers.com/movie/Zootopia-(2016)#tab=summary
225,Harry Potter and the Order of the Phoenix,2007-07-11,150000000,293108509,937970397,293108509.0,644861888.0,937970397.0,231487995.0,5291580.0,236779575.0,77108414.0,3.8,459024150.0,2007-12-11,PG-13,138,Harry Potter,"Boarding School,Good vs. Evil,3-D,IMAX: DMR,3-D - Post-production Conversion,Family Adventure",Based on Fiction Book/Short Story,Adventure,"Animation,Live Action",Fantasy,Heyday Films,"United Kingdom,United States",English,"July 11th, 2007 (Wide) byWarner Bros.July 11th, 2007 (IMAX) byWarner Bros.September 2nd, 2018 (Limited), released asHarry Potter and the Order of the Phoenix (2007) (Re-Release)","July 11th, 2007 (Wide) (Australia)July 11th, 2007 (Wide), released asHarry Potter en de orde van de Feniks(Netherlands)July 11th, 2007 (Wide) (New Zealand)July 12th, 2007 (Wide) (South Korea)July 12th, 2007 (Wide) (United Kingdom)... Show all releases","4,285 opening theaters/4,285 max. theaters, 6.1 weeks average run per theater",31.2,https://www.the-numbers.com/movie/Harry-Potter-and-the-Order-of-the-Phoenix#tab=summary
226,Harry Potter and the Goblet of Fire,2005-11-18,150000000,291147424,886123994,291147424.0,594976570.0,886123994.0,222398152.0,6237064.0,228635216.0,102685961.0,2.84,488719870.0,2006-03-07,PG-13,150,Harry Potter,"Boarding School,Visual Effects,IMAX: DMR,Family Adventure",Based on Fiction Book/Short Story,Adventure,"Animation,Live Action",Fantasy,"Warner Bros.,Heyday Films","United Kingdom,United States",English,"November 18th, 2005 (Wide) byWarner Bros.November 18th, 2005 (IMAX) byWarner Bros.September 2nd, 2018 (Limited), released asHarry Potter and the Goblet of Fire (2005) (Re-Release)February 16th, 2025 (Special Engagement) byFathom Events","November 18th, 2005 (Wide), released asHarry Potter y el cáliz de fuego(Mexico)November 18th, 2005 (Wide), released asHarry Potter ve Ateş Kadehi(Turkey)November 18th, 2005 (Wide) (United Kingdom)November 24th, 2005 (Wide) (New Zealand)November 25th, 2005 (Wide), released asHarry Potter e il calice di fuoco(Italy)... Show all releases","3,858 opening theaters/3,858 max. theaters, 7.5 weeks average run per theater",32.9,https://www.the-numbers.com/movie/Harry-Potter-and-the-Goblet-of-Fire#tab=summary
227,The Matrix Reloaded,2003-05-15,150000000,281553689,738576929,281553689.0,457023240.0,738576929.0,,,,91774413.0,3.07,503341420.0,2003-10-14,R,138,Matrix,"Visual Effects,Post Apocalypse,Artificial Intelligence,Virtual Reality,IMAX: DMR,Posthumous Release,Action Adventure",Original Screenplay,Action,"Animation,Live Action",Science Fiction,"Warner Bros.,Village Roadshow Productions,NPV Entertainment,Silver Pictures","Australia,United States",English,"May 15th, 2003 (Wide) byWarner Bros.","May 16th, 2003 (Wide), released asMatrix Reloaded, The(Australia)May 23rd, 2003 (Wide) (United Kingdom)June 7th, 2003 (Wide), released asThe Matrix Reloaded (マトリックス リローデッド)(Japan)May 15th, 2009 (Wide) (New Zealand)July 12th, 2019 (Limited), released asThe Matrix Reloaded (4K Restoration)(United Kingdom)... Show all releases","3,603 opening theaters/3,603 max. theaters, 6.5 weeks average run per theater",38.1,https://www.the-numbers.com/movie/Matrix-Reloaded-The#tab=summary
228,I am Legend,2007-12-14,150000000,256393010,585532684,256393010.0,329139674.0,585532684.0,131213338.0,4837581.0,136050919.0,77211321.0,3.32,398441445.0,2008-03-18,PG-13,100,I Am Legend,"Post Apocalypse,Vampire,IMAX: DMR,Motion Capture Performance,Action Thriller",Based on Fiction Book/Short Story,Thriller/Suspense,Live Action,Science Fiction,"Village Roadshow Productions,Weed Road Pictures,Overbrook Entertainment",United States,English,"December 14th, 2007 (Wide) byWarner Bros.December 14th, 2007 (IMAX) byWarner Bros.",,"3,606 opening theaters/3,648 max. theaters, 6.8 weeks average run per theater",43.8,https://www.the-numbers.com/movie/I-am-Legend#tab=summary
229,Moana,2016-01-27,150000000,248757044,684654985,248757044.0,435897941.0,684654985.0,51030874.0,96125817.0,147156691.0,56631401.0,4.39,308290601.0,2017-02-21,PG,113,Moana,"Pacific Islanders,Gods and Goddesses,On a Boat,Prologue,Scene in End Credits,Friendly Ghost,Returning Stolen Items,Surprise Twist,Voiceover/Narration,Father’s Footsteps,Animal Lead,Human Animal Transformation,3-D,3-D - Shot in 3-D,Family Adventure,Musical-Adventure",Original Screenplay,Adventure,Digital Animation,Kids Fiction,"Walt Disney Animation Studios,Walt Disney Pictures",United States,English,"November 23rd, 2016 (Wide) byWalt Disney","January 27th, 2016 (Wide) (Taiwan)November 25th, 2016 (Wide), released asСмелата Ваяна(Bulgaria)November 25th, 2016 (Wide) (China)November 25th, 2016 (Wide) (Colombia)November 25th, 2016 (Wide), released asOdvážná Vaiana: Legenda o konci světa(Czech Republic)... Show all releases","3,875 opening theaters/3,875 max. theaters, 8.2 weeks average run per theater",36.3,https://www.the-numbers.com/movie/Moana-(2016)#tab=summary
230,Hancock,2008-07-01,150000000,227946274,624234272,227946274.0,396287998.0,624234272.0,92102777.0,890713.0,92993490.0,62603879.0,3.64,342236875.0,2008-11-25,PG-13,92,Hancock,"Set in Brooklyn,Martial Arts,Trains,Car Accident,Heist,Police Standoff,Faulty Memory,Hostage,Action Comedy",Original Screenplay,Action,Live Action,Super Hero,"Columbia Pictures,Relativity Media,Blue Light,Weed Road Pictures,Overbrook Entertainment",United States,English,"July 1st, 2008 (Wide) bySony Pictures",,"3,965 opening theaters/3,965 max. theaters, 5.8 weeks average run per theater",36.5,https://www.the-numbers.com/movie/Hancock-(2008)#tab=summary
231,Shang-Chi and the Legend of the Ten Rings,2021-09-01,150000000,224543292,432224634,224543292.0,207681342.0,432224634.0,4558512.0,9910557.0,14469069.0,75388688.0,2.98,238011469.0,2021-11-12,PG-13,132,Marvel Cinematic Universe,"Action Adventure,Dysfunctional Family,Organized Crime,Martial Arts,Origin Story,Asian-Americans,The Past Catching up with You",Based on Comic/Graphic Novel,Action,Live Action,Super Hero,Marvel Studios,United States,English,"September 3rd, 2021 (Wide) byWalt Disney","September 1st, 2021 (Wide) (Belgium)September 1st, 2021 (Wide), released asShang-Chi et la Légende des Dix Anneaux(France)September 1st, 2021 (Wide), released asShang-Chi e la leggenda dei Dieci Anelli(Italy)September 1st, 2021 (Wide) (Norway)September 1st, 2021 (Wide) (South Korea)... Show all releases","4,300 opening theaters/4,300 max. theaters, 6.7 weeks average run per theater",52.0,https://www.the-numbers.com/movie/Shang-Chi-and-the-Legend-of-the-Ten-Rings-(2021)#tab=summary
232,Charlie and the Chocolate Factory,2005-07-15,150000000,206459076,475825484,206459076.0,269366408.0,475825484.0,,,,56178450.0,3.68,347211985.0,2005-11-08,PG,115,Charlie and the Chocolate Factory,"Visual Effects,Food,Spoiled Child,Rags to Riches,Dysfunctional Family,Poverty,IMAX: DMR,Remake,Family Adventure",Based on Fiction Book/Short Story,Adventure,Live Action,Kids Fiction,"Village Roadshow Productions,Warner Bros.,Zancuk Company,Plan B Entertainment",United States,English,"July 15th, 2005 (Wide) byWarner Bros.July 15th, 2005 (IMAX) byWarner Bros.","July 29th, 2005 (Wide), released asCharlie And The Chocolate Factory(United Kingdom)","3,770 opening theaters/3,790 max. theaters, 7.7 weeks average run per theater",43.4,https://www.the-numbers.com/movie/Charlie-and-the-Chocolate-Factory-(2005)#tab=summary
233,Ratatouille,2007-06-29,150000000,206445654,626549695,206445654.0,420104041.0,626549695.0,217081255.0,,217081255.0,47027395.0,4.39,323471525.0,2007-11-06,G,110,,"Talking Animals,Animal Lead,Food,Voiceover/Narration,Family Movie,Family Adventure",Original Screenplay,Adventure,Digital Animation,Kids Fiction,"Walt Disney Pictures,Disney-Pixar",United States,English,"June 29th, 2007 (Wide) byWalt Disney","August 1st, 2007 (Wide) (Netherlands)September 6th, 2007 (Wide) (New Zealand)June 1st, 2022 (Limited) (New Zealand)September 14th, 2023 (Limited) (Netherlands)September 15th, 2023 (Wide) (Netherlands)... Show all releases","3,940 opening theaters/3,940 max. theaters, 7.5 weeks average run per theater",32.9,https://www.the-numbers.com/movie/Ratatouille#tab=summary
234,Thor: The Dark World,2013-10-30,150000000,206362140,644602516,206362140.0,438240376.0,644602516.0,44600194.0,49439893.0,94040087.0,85737841.0,2.41,273607633.0,2014-02-25,PG-13,111,ThorMarvel Cinematic Universe,"Gods and Goddesses,Sibling Rivalry,End of the World,Adopted Family,Marvel Comics,Scene in End Credits,Surprise Twist,Voiceover/Narration,Prologue,Invented Language,Intertitle,Non-Chronological,Revenge,Gratuitous Cameos,Death of a Spouse or Fiancée / Fiancé,Young Child Dealing with the Death of a Parent,3-D,Motion Capture Performance,3-D - Post-production Conversion,Action Adventure",Based on Comic/Graphic Novel,Action,Live Action,Super Hero,"Marvel Studios,Kevin Feige",United States,English,"November 8th, 2013 (Wide) byWalt DisneyNovember 8th, 2013 (IMAX) byWalt Disney","October 30th, 2013 (Wide) (Belgium)October 30th, 2013 (Wide) (Finland)October 30th, 2013 (Wide) (France)October 30th, 2013 (Wide) (Indonesia)October 30th, 2013 (Wide) (Philippines)... Show all releases","3,841 opening theaters/3,841 max. theaters, 6.2 weeks average run per theater",32.0,https://www.the-numbers.com/movie/Thor-The-Dark-World#tab=summary
235,Batman Begins,2005-06-15,150000000,205343774,356770593,205343774.0,151426819.0,356770593.0,,,,48745440.0,4.21,345336330.0,2005-10-18,PG-13,140,BatmanDark Knight Trilogy,"D.C. Comics,Visual Effects,Corrupt Cops,Film Noir,Hallucinations,IMAX: DMR,Action Thriller,Origin Story",Based on Comic/Graphic Novel,Action,Live Action,Super Hero,Legendary Pictures,United States,English,"June 15th, 2005 (Wide) byWarner Bros.","June 16th, 2005 (Wide) (New Zealand)June 17th, 2005 (Wide) (Australia)June 17th, 2005 (Wide) (Italy)June 17th, 2005 (Wide), released asBatman Inicia(Mexico)June 17th, 2005 (Wide) (Netherlands)... Show all releases","3,858 opening theaters/3,858 max. theaters, 6.8 weeks average run per theater",57.6,https://www.the-numbers.com/movie/Batman-Begins#tab=summary
236,Mission: Impossible—Rogue Nation,2015-07-29,150000000,195042377,688858992,195042377.0,493816615.0,688858992.0,11537272.0,16400242.0,27937514.0,55520089.0,3.51,249413615.0,2015-11-17,PG-13,131,Mission: Impossible,"Secret Agent,Hitmen,IMAX: DMR,Action Thriller,Rogue Agent,Hackers,Underwater",Based on TV,Action,Live Action,Contemporary Fiction,"Bad Robot,Skydance Productions,Tom Cruise Productions,Paramount Pictures",United States,English,"July 31st, 2015 (Wide) byParamount PicturesJuly 31st, 2015 (IMAX) byParamount Pictures","July 29th, 2015 (Wide), released asMission: Impossible - Rogue Nation(Taiwan)July 30th, 2015 (Wide), released asMission: Impossible - Rogue Nation(Argentina)July 30th, 2015 (Wide), released asMission: Impossible - Rogue Nation(Australia)July 30th, 2015 (Wide), released asMission: Impossible - Rogue Nation(Bolivia)July 30th, 2015 (Wide), released asMission: Impossible - Rogue Nation(Bulgaria)... Show all releases","3,956 opening theaters/3,988 max. theaters, 7.0 weeks average run per theater",28.3,https://www.the-numbers.com/movie/Mission-Impossible-Rogue-Nation#tab=summary
